MovementID	Date	ProductID	MovementType	Quantity	Location	Reference	Notes
MOV00353	2024-11-06	P009	Purchase	-2	Store 1	REF5783	Supplier issue
MOV00354	2024-12-11	P024	Transfer	50	Warehouse B	REF7424	Quality check
MOV00355	2023-11-10	P003	Damaged	-10	Warehouse B	REF9228	Customer return
MOV00356	2024-09-29	P019	Purchase	7	Warehouse A	REF8780	Customer return
MOV00357	2024-09-29	P010	Return	32	Warehouse A	REF1727	
MOV00358	2024-10-20	P004	Damaged	-2	Online Fulfillment	REF6983	Supplier issue
MOV00359	2023-05-22	P067	Adjustment	11	Online Fulfillment	REF6570	Quality check
MOV00360	2024-08-13	P082	Purchase	-44	Store 2	REF8877	Quality check
MOV00361	2023-08-14	P028	Transfer	-3	Store 2	REF7291	Customer return
MOV00362	2023-08-10	P098	Return	88	Warehouse A	REF3916	Customer return
MOV00363	2024-08-13	P050	Adjustment	83	Online Fulfillment	REF3806	Quality check
MOV00364	2024-07-24	P047	Transfer	38	Store 1	REF3988	Regular operation
MOV00365	2023-03-17	P001	Damaged	-22	Store 1	REF6080	Customer return
MOV00366	2023-11-12	P071	Return	75	Online Fulfillment	REF3313	Regular operation
MOV00367	2024-04-02	P035	Purchase	43	Warehouse A	REF8638	Regular operation
MOV00368	2023-07-13	P087	Sale	-7	Warehouse A	REF8406	Supplier issue
MOV00369	2023-12-03	P079	Transfer	-37	Warehouse B	REF6642	Customer return
MOV00370	2024-10-04	P077	Transfer	11	Online Fulfillment	REF2219	Regular operation
MOV00371	2023-08-02	P023	Purchase	20	Warehouse A	REF1855	Quality check
MOV00372	2024-10-17	P063	Sale	80	Warehouse A	REF1897	Quality check
MOV00373	2024-09-03	P059	Sale	37	Store 2	REF6353	Customer return
MOV00374	2023-04-28	P020	Adjustment	4	Store 2	REF1914	Regular operation
MOV00375	2024-05-20	P098	Transfer	59	Warehouse B	REF4405	Regular operation
MOV00376	2023-07-05	P021	Return	-24	Store 2	REF7342	Supplier issue
MOV00377	2024-03-23	P069	Transfer	-6	Warehouse A	REF3690	Supplier issue
MOV00378	2023-10-20	P054	Sale	-25	Warehouse B	REF4507	Customer return
MOV00379	2024-01-09	P074	Damaged	38	Online Fulfillment	REF3901	
MOV00380	2024-01-12	P051	Return	51	Warehouse B	REF2047	
MOV00381	2023-06-25	P077	Damaged	33	Online Fulfillment	REF1538	
MOV00382	2024-08-03	P039	Return	-31	Store 1	REF9166	Customer return
MOV00383	2023-08-02	P098	Adjustment	59	Warehouse B	REF8403	
MOV00384	2024-12-28	P023	Return	56	Store 1	REF9323	Customer return
MOV00385	2024-07-10	P055	Return	77	Store 2	REF7843	
MOV00386	2024-01-02	P085	Return	77	Store 2	REF1073	Customer return
MOV00387	2023-05-01	P072	Adjustment	43	Warehouse A	REF7493	Supplier issue
MOV00388	2024-09-05	P094	Transfer	55	Store 1	REF6523	Regular operation
MOV00389	2023-04-12	P048	Transfer	-49	Store 1	REF3250	Customer return
MOV00390	2024-02-27	P065	Adjustment	-50	Store 1	REF3714	Supplier issue
MOV00391	2023-09-26	P049	Transfer	77	Online Fulfillment	REF6850	Regular operation
MOV00392	2024-07-12	P007	Return	51	Store 2	REF1110	Supplier issue
MOV00393	2023-08-14	P065	Damaged	-4	Online Fulfillment	REF7083	Regular operation
MOV00394	2023-10-30	P014	Adjustment	-14	Store 2	REF6410	Regular operation
MOV00395	2024-10-06	P082	Sale	-43	Online Fulfillment	REF3587	Quality check
MOV00396	2023-12-09	P023	Purchase	-3	Warehouse B	REF1204	Quality check
MOV00397	2024-08-17	P087	Damaged	22	Store 1	REF7262	Quality check
MOV00398	2024-05-19	P049	Sale	32	Warehouse A	REF5811	
MOV00399	2024-04-20	P034	Transfer	70	Warehouse A	REF6162	Regular operation
MOV00400	2023-05-15	P087	Transfer	34	Store 1	REF7057	
MOV00401	2024-09-04	P031	Damaged	89	Store 1	REF4663	Quality check
MOV00402	2023-12-06	P065	Damaged	25	Online Fulfillment	REF2090	Supplier issue
MOV00403	2024-08-27	P045	Sale	39	Online Fulfillment	REF6566	Quality check
MOV00404	2023-05-17	P071	Damaged	71	Store 1	REF2297	Quality check
MOV00405	2023-01-08	P074	Damaged	-39	Warehouse A	REF9981	Regular operation
MOV00406	2024-05-23	P086	Return	97	Store 2	REF5086	Regular operation
MOV00407	2023-05-06	P011	Return	58	Warehouse B	REF4439	Supplier issue
MOV00408	2023-01-27	P073	Transfer	-26	Warehouse A	REF6152	Regular operation
MOV00409	2023-10-16	P087	Return	49	Warehouse A	REF8410	Customer return
MOV00410	2023-03-05	P004	Damaged	42	Online Fulfillment	REF9040	Customer return
MOV00411	2024-06-16	P027	Return	24	Store 1	REF5465	Quality check
MOV00412	2023-04-02	P003	Damaged	26	Warehouse B	REF1273	
MOV00413	2023-10-29	P012	Transfer	-3	Online Fulfillment	REF7669	Customer return
MOV00414	2023-10-05	P073	Purchase	69	Online Fulfillment	REF8257	Quality check
MOV00415	2023-11-29	P043	Purchase	45	Store 1	REF2956	Customer return
MOV00416	2023-05-04	P078	Purchase	96	Warehouse B	REF8503	Customer return
MOV00417	2024-04-03	P098	Adjustment	-50	Store 2	REF7210	Regular operation
MOV00418	2024-11-29	P052	Purchase	58	Online Fulfillment	REF5515	Regular operation
MOV00419	2023-08-05	P098	Return	-25	Warehouse B	REF9879	Customer return
MOV00420	2024-07-23	P027	Adjustment	30	Store 1	REF6971	
MOV00421	2023-06-13	P063	Adjustment	-35	Store 2	REF3152	Quality check
MOV00422	2024-03-01	P077	Damaged	-22	Store 1	REF7367	
MOV00423	2024-11-19	P086	Return	-43	Store 2	REF1341	
MOV00424	2024-10-22	P023	Adjustment	58	Warehouse A	REF1318	Regular operation
MOV00425	2023-06-23	P092	Sale	40	Warehouse A	REF3252	Regular operation
MOV00426	2024-09-30	P098	Return	43	Online Fulfillment	REF7287	
MOV00427	2023-04-23	P043	Adjustment	2	Store 1	REF5282	Quality check
MOV00428	2024-07-29	P045	Damaged	58	Warehouse B	REF4350	Supplier issue
MOV00429	2024-01-03	P073	Transfer	18	Online Fulfillment	REF2393	Quality check
MOV00430	2024-07-07	P095	Adjustment	85	Store 2	REF1044	Regular operation
MOV00431	2024-07-28	P067	Purchase	-28	Warehouse A	REF4776	Quality check
MOV00432	2024-04-29	P079	Return	-10	Warehouse B	REF4310	Regular operation
MOV00433	2023-09-30	P031	Sale	20	Warehouse A	REF8244	Regular operation
MOV00434	2024-11-16	P060	Purchase	-13	Store 2	REF9244	Supplier issue
MOV00435	2024-09-08	P054	Sale	12	Online Fulfillment	REF8951	
MOV00436	2024-10-23	P006	Transfer	-33	Warehouse B	REF3820	Quality check
MOV00437	2023-02-21	P065	Sale	-4	Warehouse A	REF6001	Customer return
MOV00438	2024-06-15	P038	Damaged	11	Store 1	REF2838	
MOV00439	2024-05-17	P066	Transfer	-25	Store 2	REF5184	
MOV00440	2023-12-28	P061	Purchase	-42	Store 1	REF3313	Customer return
MOV00441	2024-09-29	P076	Purchase	-47	Warehouse B	REF9375	Customer return
MOV00442	2023-06-18	P018	Return	-26	Store 2	REF1716	Regular operation
MOV00443	2024-07-06	P100	Damaged	7	Warehouse A	REF4908	Supplier issue
MOV00444	2024-05-19	P087	Return	3	Store 1	REF1572	Quality check
MOV00445	2023-03-02	P044	Damaged	71	Online Fulfillment	REF3794	Customer return
MOV00446	2024-12-25	P082	Purchase	77	Warehouse B	REF4653	Quality check
MOV00447	2023-12-22	P067	Purchase	9	Store 2	REF9205	Quality check
MOV00448	2023-06-16	P007	Purchase	35	Warehouse B	REF8970	
MOV00449	2024-03-04	P071	Return	23	Store 2	REF3878	Regular operation
MOV00450	2023-04-05	P050	Adjustment	-48	Warehouse A	REF7833	Quality check
MOV00451	2023-02-14	P066	Sale	-23	Warehouse B	REF5388	Regular operation
MOV00452	2024-04-13	P100	Damaged	46	Store 2	REF5660	Customer return
MOV00453	2024-11-14	P028	Adjustment	-11	Online Fulfillment	REF3095	Regular operation
MOV00454	2024-12-13	P032	Damaged	35	Warehouse A	REF2645	Regular operation
MOV00455	2023-09-03	P035	Return	46	Online Fulfillment	REF6344	Regular operation
MOV00456	2024-08-27	P017	Transfer	-29	Online Fulfillment	REF5674	
MOV00457	2024-08-22	P076	Return	41	Store 1	REF5554	
MOV00458	2024-03-25	P019	Return	25	Store 2	REF3403	Regular operation
MOV00459	2023-10-23	P063	Return	28	Warehouse B	REF2765	Supplier issue
MOV00460	2024-01-05	P053	Sale	95	Store 1	REF1031	Customer return
MOV00461	2024-01-29	P042	Purchase	22	Store 1	REF5236	Customer return
MOV00462	2024-03-06	P089	Return	74	Store 1	REF9467	Regular operation
MOV00463	2023-10-27	P095	Return	-10	Store 1	REF3205	
MOV00464	2024-06-07	P069	Damaged	50	Store 1	REF7208	Customer return
MOV00465	2023-01-18	P072	Transfer	8	Warehouse A	REF5096	Quality check
MOV00466	2023-03-26	P061	Transfer	25	Warehouse B	REF2252	Quality check
MOV00467	2024-09-02	P013	Sale	61	Online Fulfillment	REF9179	Customer return
MOV00468	2023-09-24	P068	Sale	4	Store 2	REF8944	Supplier issue
MOV00469	2023-05-16	P096	Adjustment	-19	Store 1	REF5118	Quality check
MOV00470	2023-06-17	P033	Purchase	-8	Store 1	REF1024	Quality check
MOV00471	2024-06-23	P087	Sale	20	Warehouse A	REF4048	Customer return
MOV00472	2024-05-01	P018	Sale	8	Store 2	REF3395	Regular operation
MOV00473	2024-03-31	P039	Purchase	73	Store 1	REF4547	Supplier issue
MOV00474	2023-02-20	P087	Purchase	59	Warehouse B	REF3641	Quality check
MOV00475	2024-09-02	P078	Transfer	92	Store 2	REF8471	Quality check
MOV00476	2023-08-20	P048	Sale	-26	Warehouse A	REF9699	Customer return
MOV00477	2024-06-26	P025	Damaged	67	Store 1	REF6838	
MOV00478	2023-07-03	P054	Sale	-10	Warehouse A	REF9641	
MOV00479	2023-10-15	P099	Return	-25	Warehouse A	REF9574	Customer return
MOV00480	2024-06-03	P073	Damaged	98	Online Fulfillment	REF2529	
MOV00481	2023-05-06	P013	Transfer	19	Warehouse B	REF2967	Supplier issue
MOV00482	2024-12-28	P072	Sale	23	Warehouse B	REF1033	Supplier issue
MOV00483	2023-09-19	P025	Sale	100	Store 1	REF6560	Quality check
MOV00484	2023-11-13	P026	Sale	22	Online Fulfillment	REF8434	Regular operation
MOV00485	2024-09-02	P057	Sale	-47	Store 1	REF1827	
MOV00486	2024-11-22	P028	Sale	24	Warehouse B	REF5538	Quality check
MOV00487	2024-10-03	P099	Purchase	-44	Online Fulfillment	REF2327	Supplier issue
MOV00488	2023-08-19	P015	Adjustment	-1	Warehouse B	REF3191	Customer return
MOV00489	2024-10-25	P030	Purchase	82	Store 2	REF3796	Customer return
MOV00490	2023-09-18	P062	Transfer	11	Online Fulfillment	REF1465	Supplier issue
MOV00491	2023-05-02	P018	Purchase	-8	Store 1	REF9122	
MOV00492	2024-07-06	P076	Adjustment	-31	Warehouse A	REF3400	Customer return
MOV00493	2023-04-25	P073	Transfer	-5	Store 2	REF3667	Customer return
MOV00494	2023-10-25	P084	Transfer	42	Warehouse B	REF1611	Supplier issue
MOV00495	2024-01-29	P074	Transfer	-31	Store 1	REF3348	
MOV00496	2023-08-04	P011	Purchase	94	Store 2	REF9077	
MOV00497	2024-08-13	P046	Purchase	59	Store 2	REF6870	Regular operation
MOV00498	2023-04-20	P069	Purchase	-37	Store 1	REF5522	Customer return
MOV00499	2023-01-22	P097	Sale	69	Store 2	REF7387	Regular operation
MOV00500	2023-04-30	P086	Sale	6	Warehouse A	REF7372	Quality check
MOV00501	2023-12-14	P061	Return	-27	Warehouse A	REF1550	Regular operation
MOV00502	2023-08-09	P050	Adjustment	87	Store 1	REF8724	Customer return
MOV00503	2023-09-02	P075	Adjustment	10	Online Fulfillment	REF5425	Supplier issue
MOV00504	2024-10-16	P012	Damaged	89	Store 1	REF6998	
MOV00505	2023-03-18	P050	Sale	-38	Warehouse B	REF2755	Quality check
MOV00506	2024-08-29	P010	Transfer	-10	Warehouse B	REF7669	Quality check
MOV00507	2024-04-30	P018	Return	-22	Warehouse A	REF3283	
MOV00508	2024-11-10	P067	Purchase	2	Warehouse A	REF1863	Quality check
MOV00509	2024-01-25	P020	Sale	62	Warehouse A	REF6946	Regular operation
MOV00510	2024-01-28	P059	Damaged	25	Online Fulfillment	REF3857	Customer return
MOV00511	2023-06-13	P020	Transfer	-10	Store 1	REF5609	Supplier issue
MOV00512	2023-12-11	P097	Damaged	21	Store 2	REF7161	Quality check
MOV00513	2023-03-20	P056	Transfer	-27	Store 1	REF7071	Customer return
MOV00514	2024-09-01	P007	Sale	48	Store 1	REF4691	Customer return
MOV00515	2023-10-16	P021	Sale	62	Warehouse B	REF5188	Supplier issue
MOV00516	2024-03-10	P058	Adjustment	-18	Warehouse B	REF7706	Supplier issue
MOV00517	2024-02-04	P010	Adjustment	27	Store 2	REF1194	Customer return
MOV00518	2023-12-31	P097	Return	-8	Warehouse B	REF5820	Quality check
MOV00519	2024-12-09	P006	Return	59	Store 1	REF3413	Customer return
MOV00520	2023-10-23	P078	Adjustment	86	Warehouse A	REF7151	Customer return
MOV00521	2023-08-23	P062	Purchase	51	Warehouse A	REF4097	Customer return
MOV00522	2024-06-07	P080	Adjustment	6	Warehouse A	REF2778	Supplier issue
MOV00523	2023-02-17	P016	Return	47	Store 1	REF4842	
MOV00524	2024-09-09	P048	Sale	-27	Warehouse A	REF6209	Customer return
MOV00525	2023-07-07	P033	Purchase	-27	Store 1	REF1375	Customer return
MOV00526	2023-08-07	P082	Adjustment	-35	Online Fulfillment	REF7813	
MOV00527	2023-01-28	P068	Transfer	11	Store 1	REF9639	Customer return
MOV00528	2023-12-27	P065	Damaged	7	Store 2	REF5273	Customer return
MOV00529	2023-09-27	P082	Transfer	64	Store 1	REF8355	
MOV00530	2024-08-01	P099	Damaged	73	Store 1	REF3178	Customer return
MOV00531	2023-10-27	P021	Damaged	98	Warehouse A	REF5968	Quality check
MOV00532	2024-01-29	P068	Sale	72	Store 1	REF7612	
MOV00533	2023-09-19	P075	Adjustment	85	Store 1	REF2011	Supplier issue
MOV00534	2024-06-19	P083	Adjustment	73	Warehouse B	REF6200	Quality check
MOV00535	2023-02-28	P098	Transfer	-23	Store 1	REF9682	Regular operation
MOV00536	2024-07-10	P052	Adjustment	83	Online Fulfillment	REF5285	Customer return
MOV00537	2023-04-21	P014	Transfer	6	Warehouse B	REF5643	Supplier issue
MOV00538	2024-05-08	P010	Damaged	94	Online Fulfillment	REF3528	Supplier issue
MOV00539	2023-12-11	P022	Sale	62	Warehouse A	REF1332	Regular operation
MOV00540	2023-05-31	P094	Transfer	44	Online Fulfillment	REF7318	Quality check
MOV00541	2023-11-22	P010	Transfer	74	Store 1	REF8412	Regular operation
MOV00542	2024-01-11	P027	Sale	-40	Online Fulfillment	REF5025	Supplier issue
MOV00543	2023-03-20	P029	Damaged	-45	Warehouse A	REF5726	Customer return
MOV00544	2024-02-22	P036	Purchase	73	Warehouse B	REF5734	Regular operation
MOV00545	2024-11-04	P008	Sale	59	Store 2	REF6375	
MOV00546	2023-01-15	P050	Transfer	6	Warehouse B	REF9590	
MOV00547	2023-09-30	P006	Purchase	-27	Store 2	REF2271	Quality check
MOV00548	2023-02-04	P097	Sale	74	Warehouse A	REF8535	Regular operation
MOV00549	2024-06-25	P034	Adjustment	67	Online Fulfillment	REF1935	
MOV00550	2024-04-21	P061	Damaged	9	Store 2	REF4541	Regular operation
MOV00551	2024-03-02	P074	Sale	64	Store 1	REF3775	Supplier issue
MOV00552	2023-11-13	P053	Purchase	-29	Warehouse A	REF1265	Supplier issue
MOV00553	2024-10-14	P078	Damaged	63	Store 2	REF5785	Regular operation
MOV00554	2023-01-02	P077	Damaged	68	Warehouse A	REF2032	
MOV00555	2023-08-09	P017	Return	51	Store 2	REF2168	
MOV00556	2023-01-09	P049	Purchase	-50	Online Fulfillment	REF6549	Quality check
MOV00557	2024-04-09	P006	Purchase	77	Warehouse A	REF1338	Regular operation
MOV00558	2023-01-07	P020	Sale	-17	Warehouse A	REF3773	Supplier issue
MOV00559	2024-07-27	P028	Transfer	-40	Store 1	REF2569	Regular operation
MOV00560	2023-05-05	P010	Transfer	-33	Store 2	REF4210	Customer return
MOV00561	2024-08-25	P015	Purchase	47	Store 2	REF8149	
MOV00562	2024-06-14	P062	Purchase	-40	Warehouse A	REF5613	
MOV00563	2023-11-09	P011	Purchase	58	Warehouse B	REF3940	
MOV00564	2023-06-03	P096	Sale	42	Warehouse A	REF7244	Customer return
MOV00565	2023-05-19	P076	Return	79	Store 2	REF2991	Supplier issue
MOV00566	2024-04-01	P019	Purchase	-34	Store 2	REF1323	Quality check
MOV00567	2023-12-01	P033	Return	49	Store 1	REF6354	Regular operation
MOV00568	2023-06-10	P091	Return	-10	Warehouse A	REF9491	Quality check
MOV00569	2023-11-30	P034	Damaged	84	Warehouse A	REF6428	Supplier issue
MOV00570	2023-12-20	P080	Return	-50	Warehouse B	REF5823	Quality check
MOV00571	2023-09-15	P084	Sale	57	Warehouse B	REF5015	Customer return
MOV00572	2023-07-03	P030	Purchase	68	Store 1	REF5710	
MOV00573	2024-03-29	P064	Purchase	-1	Warehouse B	REF1039	Quality check
MOV00574	2023-01-18	P052	Purchase	2	Online Fulfillment	REF3134	Regular operation
MOV00575	2023-08-29	P014	Transfer	56	Store 2	REF7968	Supplier issue
MOV00576	2023-10-14	P040	Transfer	-8	Warehouse B	REF9360	Supplier issue
MOV00577	2024-07-21	P002	Adjustment	-1	Online Fulfillment	REF2012	Regular operation
MOV00578	2023-11-03	P079	Adjustment	8	Warehouse A	REF7335	Supplier issue
MOV00579	2024-02-05	P058	Adjustment	-6	Online Fulfillment	REF7198	Regular operation
MOV00580	2024-10-09	P021	Damaged	61	Store 1	REF2148	Regular operation
MOV00581	2023-09-21	P092	Adjustment	-19	Store 2	REF5879	
MOV00582	2023-12-02	P033	Return	78	Store 1	REF5991	Supplier issue
MOV00583	2023-12-19	P060	Adjustment	-20	Warehouse B	REF8376	Regular operation
MOV00584	2023-12-19	P026	Return	-8	Store 2	REF9224	
MOV00585	2023-08-05	P082	Sale	83	Store 2	REF4522	Quality check
MOV00586	2023-06-27	P060	Adjustment	59	Store 1	REF5211	
MOV00587	2024-10-08	P038	Sale	77	Store 1	REF5745	Supplier issue
MOV00588	2024-12-06	P040	Return	20	Warehouse A	REF4098	Regular operation
MOV00589	2023-01-29	P020	Damaged	-25	Store 1	REF4828	Supplier issue
MOV00590	2024-03-01	P042	Transfer	25	Store 1	REF4297	
MOV00591	2024-07-20	P023	Sale	-16	Warehouse B	REF6007	Customer return
MOV00592	2023-09-08	P028	Return	49	Store 2	REF9432	Quality check
MOV00593	2023-05-16	P100	Transfer	56	Store 1	REF8934	Customer return
MOV00594	2023-11-07	P078	Damaged	-12	Warehouse A	REF4622	
MOV00595	2024-07-14	P001	Purchase	1	Warehouse B	REF8646	Supplier issue
MOV00596	2023-03-16	P079	Purchase	43	Store 2	REF8894	Regular operation
MOV00597	2023-04-12	P040	Purchase	-21	Warehouse A	REF6834	
MOV00598	2023-04-21	P082	Adjustment	-11	Warehouse B	REF2132	Customer return
MOV00599	2023-09-07	P079	Return	-9	Online Fulfillment	REF2201	Regular operation
MOV00600	2024-01-02	P070	Adjustment	53	Store 1	REF1639	
MOV00601	2023-03-07	P049	Sale	64	Store 1	REF1371	Customer return
MOV00602	2024-03-25	P096	Transfer	-15	Warehouse A	REF7072	Regular operation
MOV00603	2023-02-09	P084	Transfer	92	Warehouse A	REF2017	Regular operation
MOV00604	2024-10-21	P075	Return	25	Warehouse B	REF1247	Regular operation
MOV00605	2023-05-23	P059	Adjustment	7	Warehouse B	REF1231	Supplier issue
MOV00606	2023-12-10	P051	Transfer	24	Warehouse B	REF8314	Supplier issue
MOV00607	2024-10-05	P025	Transfer	-48	Online Fulfillment	REF3836	Supplier issue
MOV00608	2023-07-22	P022	Adjustment	63	Store 2	REF4708	Regular operation
MOV00609	2023-03-31	P040	Sale	-30	Warehouse A	REF8516	Customer return
MOV00610	2023-08-23	P077	Transfer	71	Warehouse A	REF5527	Regular operation
MOV00611	2023-09-30	P024	Adjustment	24	Warehouse B	REF4616	Regular operation
MOV00612	2024-01-21	P086	Return	47	Warehouse A	REF5608	Quality check
MOV00613	2024-06-02	P094	Sale	79	Warehouse A	REF7767	Supplier issue
MOV00614	2023-11-04	P091	Damaged	-16	Online Fulfillment	REF6127	Customer return
MOV00615	2023-02-22	P046	Transfer	22	Store 2	REF5252	Quality check
MOV00616	2024-07-25	P075	Return	75	Store 1	REF3188	
MOV00617	2024-08-26	P062	Sale	28	Store 1	REF8507	
MOV00618	2024-07-23	P076	Transfer	-5	Warehouse B	REF5714	Customer return
MOV00619	2023-12-20	P089	Return	-44	Store 1	REF3480	Regular operation
MOV00620	2023-01-22	P002	Purchase	26	Online Fulfillment	REF7544	Regular operation
MOV00621	2023-04-23	P098	Adjustment	64	Online Fulfillment	REF6271	Customer return
MOV00622	2024-01-16	P027	Transfer	-42	Store 1	REF8211	
MOV00623	2024-07-13	P049	Adjustment	-18	Store 2	REF3895	Quality check
MOV00624	2023-08-31	P073	Return	11	Warehouse A	REF1532	Quality check
MOV00625	2024-11-01	P045	Damaged	39	Warehouse B	REF6483	Quality check
MOV00626	2024-10-16	P048	Adjustment	2	Store 2	REF8987	Quality check
MOV00627	2023-04-19	P023	Return	-10	Store 1	REF6933	
MOV00628	2024-05-16	P005	Purchase	6	Warehouse A	REF2916	Regular operation
MOV00629	2024-03-31	P045	Purchase	75	Warehouse B	REF4379	Customer return
MOV00630	2024-07-24	P026	Adjustment	-14	Store 1	REF3889	Regular operation
MOV00631	2023-12-11	P012	Return	59	Online Fulfillment	REF6063	Customer return
MOV00632	2023-08-14	P071	Adjustment	90	Store 2	REF2145	Supplier issue
MOV00633	2023-03-12	P030	Return	5	Store 1	REF9413	
MOV00634	2023-03-27	P008	Return	21	Online Fulfillment	REF3852	Customer return
MOV00635	2024-03-19	P021	Damaged	73	Warehouse B	REF7955	Customer return
MOV00636	2023-07-23	P087	Sale	-19	Store 2	REF2350	Quality check
MOV00637	2023-01-01	P083	Transfer	-14	Online Fulfillment	REF7892	
MOV00638	2024-11-08	P093	Damaged	71	Online Fulfillment	REF5804	Quality check
MOV00639	2024-11-13	P089	Adjustment	73	Store 1	REF2685	Customer return
MOV00640	2023-08-16	P051	Damaged	62	Warehouse B	REF1772	
MOV00641	2024-03-26	P096	Return	-41	Store 2	REF7152	
MOV00642	2024-08-30	P014	Damaged	-18	Online Fulfillment	REF6140	Supplier issue
MOV00643	2024-06-14	P043	Transfer	20	Store 1	REF2289	Supplier issue
MOV00644	2023-10-20	P074	Sale	2	Warehouse A	REF2372	Regular operation
MOV00645	2023-11-24	P049	Damaged	88	Store 1	REF6114	Regular operation
MOV00646	2023-06-24	P050	Damaged	-18	Warehouse A	REF9485	Regular operation
MOV00647	2024-02-07	P092	Damaged	-48	Warehouse B	REF7698	Quality check
MOV00648	2023-06-23	P030	Damaged	44	Warehouse A	REF6330	Quality check
MOV00649	2023-05-29	P077	Damaged	-28	Store 2	REF6801	Supplier issue
MOV00650	2023-04-06	P026	Damaged	-35	Store 2	REF4939	
MOV00651	2024-06-11	P057	Purchase	24	Online Fulfillment	REF5737	Customer return
MOV00652	2023-10-05	P040	Sale	-43	Warehouse A	REF8605	Customer return
MOV00653	2023-12-12	P087	Adjustment	75	Store 2	REF5767	Regular operation
MOV00654	2024-10-25	P038	Adjustment	38	Warehouse A	REF9215	Quality check
MOV00655	2023-04-10	P052	Sale	1	Warehouse B	REF7011	Quality check
MOV00656	2023-09-06	P091	Adjustment	0	Warehouse A	REF6447	Supplier issue
MOV00657	2023-12-28	P060	Damaged	79	Store 2	REF7616	Regular operation
MOV00658	2024-04-09	P008	Sale	36	Warehouse A	REF8479	Supplier issue
MOV00659	2024-03-13	P055	Purchase	48	Online Fulfillment	REF6851	Regular operation
MOV00660	2024-06-11	P047	Damaged	-13	Store 2	REF2341	Regular operation
MOV00661	2024-03-06	P066	Transfer	54	Store 1	REF6671	Quality check
MOV00662	2023-05-20	P050	Return	77	Store 1	REF2757	Customer return
MOV00663	2023-03-07	P024	Damaged	19	Warehouse A	REF5259	Quality check
MOV00664	2024-08-05	P056	Transfer	22	Online Fulfillment	REF4446	Customer return
MOV00665	2024-08-20	P099	Adjustment	-38	Warehouse A	REF1087	Regular operation
MOV00666	2024-07-19	P085	Damaged	-11	Warehouse A	REF9415	Supplier issue
MOV00667	2023-04-19	P050	Damaged	5	Online Fulfillment	REF2994	
MOV00668	2023-08-09	P091	Damaged	98	Warehouse B	REF8811	Regular operation
MOV00669	2024-08-02	P013	Transfer	97	Warehouse B	REF2733	
MOV00670	2024-07-01	P062	Transfer	-18	Warehouse A	REF7771	Customer return
MOV00671	2023-01-03	P013	Transfer	-32	Store 2	REF6931	Supplier issue
MOV00672	2024-03-07	P096	Purchase	-24	Online Fulfillment	REF1524	
MOV00673	2024-03-17	P092	Adjustment	31	Warehouse B	REF3066	Supplier issue
MOV00674	2023-05-15	P040	Transfer	-28	Store 1	REF3108	
MOV00675	2024-09-21	P029	Sale	80	Warehouse A	REF7614	Supplier issue
MOV00676	2023-12-12	P096	Purchase	74	Store 2	REF4291	Regular operation
MOV00677	2023-07-31	P011	Transfer	67	Store 1	REF5030	Regular operation
MOV00678	2023-09-03	P042	Sale	75	Store 2	REF3987	Customer return
MOV00679	2023-12-17	P079	Sale	75	Store 2	REF7060	Regular operation
MOV00680	2023-04-06	P067	Sale	32	Store 2	REF7944	Customer return
MOV00681	2023-04-23	P050	Sale	-22	Store 2	REF3777	Supplier issue
MOV00682	2023-04-08	P099	Return	14	Online Fulfillment	REF4183	Supplier issue
MOV00683	2023-06-26	P069	Purchase	-1	Store 1	REF2990	Quality check
MOV00684	2023-12-08	P004	Sale	1	Store 1	REF7590	Regular operation
MOV00685	2024-12-31	P061	Return	56	Online Fulfillment	REF8224	Customer return
MOV00686	2024-04-01	P039	Damaged	25	Store 2	REF6165	Customer return
MOV00687	2024-12-26	P033	Transfer	-14	Warehouse A	REF9442	Supplier issue
MOV00688	2023-08-11	P079	Transfer	-5	Warehouse A	REF3082	Customer return
MOV00689	2023-11-30	P066	Transfer	75	Store 2	REF5579	Regular operation
MOV00690	2023-12-26	P008	Sale	-34	Store 1	REF2086	Quality check
MOV00691	2023-11-14	P098	Damaged	47	Store 1	REF1882	
MOV00692	2024-12-22	P085	Adjustment	32	Store 2	REF8025	Quality check
MOV00693	2024-07-12	P063	Return	25	Store 2	REF9060	Regular operation
MOV00694	2023-08-22	P040	Purchase	-8	Store 1	REF4905	
MOV00695	2024-12-13	P100	Damaged	13	Store 1	REF2429	Regular operation
MOV00696	2024-03-10	P048	Adjustment	-16	Online Fulfillment	REF8299	Supplier issue
MOV00697	2024-01-27	P047	Adjustment	-10	Warehouse A	REF7897	Supplier issue
MOV00698	2024-10-08	P007	Sale	9	Warehouse B	REF7158	Supplier issue
MOV00699	2024-11-27	P063	Adjustment	15	Store 1	REF2555	Regular operation
MOV00700	2024-12-01	P072	Return	1	Online Fulfillment	REF8686	Regular operation
MOV00701	2023-04-25	P067	Sale	-36	Warehouse A	REF4569	Customer return
MOV00702	2023-02-06	P080	Damaged	12	Store 1	REF9374	Quality check
MOV00703	2024-05-03	P095	Damaged	-21	Store 2	REF4245	Quality check
MOV00704	2023-02-24	P028	Purchase	-48	Store 2	REF7510	Supplier issue
MOV00705	2023-10-16	P056	Damaged	42	Warehouse A	REF9217	Customer return
MOV00706	2024-05-01	P066	Transfer	77	Online Fulfillment	REF8651	
MOV00707	2024-07-16	P066	Return	39	Online Fulfillment	REF9054	
